iter	RMSE
677	0.8898011872
678	0.8897945971
679	0.8897546632
680	0.8897179674
681	0.8896806992
682	0.8896645487
683	0.8896099306
684	0.8896015541
685	0.8895691853
686	0.8895080955
687	0.8894642066
688	0.8894514244
689	0.8894156025
690	0.8893181376
691	0.8892316827
692	0.8892068645
693	0.8891834459
694	0.8891639596
695	0.8891297412
696	0.8891114003
697	0.8890607627
698	0.8890463958
699	0.8890106899
700	0.8890074829
701	0.8890005283
702	0.8889828561
703	0.8889573356
704	0.8889392082
705	0.8889292163
706	0.8888628054
707	0.888850193
708	0.8888365818
709	0.8887620928
710	0.8887386505
711	0.8887275636
712	0.8886988278
713	0.8886819183
714	0.8886686732
715	0.8886500374
716	0.8886270615
717	0.8885945264
718	0.8885482218
719	0.8885188543
720	0.8885008611
721	0.8884707646
722	0.8884382161
723	0.8884081271
724	0.8883610303
725	0.8883253412
726	0.8882995111
727	0.8882630209
728	0.8882281735
729	0.8882024461
730	0.8881571527
731	0.8881524213
732	0.8881158319
733	0.8880978418
734	0.888029876
735	0.8880142329
736	0.8879956007
737	0.887984971
738	0.8879676272
739	0.887917633
740	0.8878890107
741	0.8878274754
742	0.8878124138
743	0.8877992457
744	0.8877726165
745	0.8877487046
746	0.8877288554
747	0.8877129239
748	0.887685833
749	0.8876349614
750	0.8876003503
751	0.8875677775
752	0.8875530681
753	0.8875358095
754	0.8875048006
755	0.8874888855
756	0.8874474205
757	0.887426687
758	0.8874111398
759	0.8873903615
760	0.887342181
761	0.8873134122
762	0.8871508243
763	0.8871247942
764	0.8871039595
765	0.8870677546
766	0.8870384728
767	0.8870112261
768	0.8869638557
769	0.886946413
770	0.8869160891
771	0.886870702
772	0.8868297386
773	0.8867939169
774	0.8867425069
775	0.8867086177
776	0.8866844275
777	0.8866499026
778	0.8866359139
779	0.8866004543
780	0.8865584621
781	0.8865421652
782	0.8864574956
783	0.8864496524
784	0.8864421897
785	0.8863987791
786	0.8863585876
787	0.8863237676
788	0.886321277
789	0.8862935271
790	0.8862655302
791	0.8862542796
792	0.8861846395
793	0.8861533801
794	0.8861082596
795	0.8860967792
796	0.886083261
797	0.8860525037
798	0.8860277417
799	0.88592982
800	0.8859160721
801	0.8859060687
802	0.885893937
803	0.88584108
804	0.8858005716
805	0.8857828455
806	0.8857337772
807	0.8857132854
808	0.885695483
809	0.885672639
810	0.885650674
811	0.8856369037
812	0.8856070653
813	0.8855947358
814	0.8855741171
815	0.8855610942
816	0.8855292552
817	0.8855039805
818	0.885477258
819	0.885466497
820	0.8854584101
821	0.8854438696
822	0.8854161626
823	0.8853247799
824	0.885236071
825	0.8852061921
826	0.8851822557
827	0.885170576
828	0.8851573451
829	0.8851270979
830	0.885110889
831	0.8850730303
832	0.8850194311
833	0.8849768762
834	0.8849524632
